id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,xG,xGA,xGD,xGD/90
244,GR,Napoli 2017-2018,6.0,2.0,0.0,4.0,11.0,11.0,0.0,6.0,25.878,10.1,8.2,1.8,0.31
245,GR,Spartak Moscow 2017-2018,6.0,1.0,3.0,2.0,9.0,13.0,-4.0,6.0,43.5339999999999,6.8,11.4,-4.6,-0.77
246,GR,Feyenoord 2017-2018,6.0,1.0,0.0,5.0,5.0,14.0,-9.0,3.0,41.167,5.4,8.6,-3.3,-0.54
247,GR,Celtic 2017-2018,6.0,1.0,0.0,5.0,5.0,18.0,-13.0,3.0,57.92100000000001,4.7,10.5,-5.7,-0.96
248,GR,NK Maribor 2017-2018,6.0,0.0,3.0,3.0,3.0,16.0,-13.0,3.0,12.349,4.1,16.1,-12.0,-1.99
249,GR,Anderlecht 2017-2018,6.0,1.0,0.0,5.0,2.0,17.0,-15.0,3.0,19.586,5.4,14.2,-8.8,-1.47
250,GR,Dortmund 2017-2018,6.0,0.0,2.0,4.0,7.0,13.0,-6.0,2.0,65.402,9.6,9.8,-0.2,-0.04
251,GR,Monaco 2017-2018,6.0,0.0,2.0,4.0,6.0,16.0,-10.0,2.0,9.378,5.9,9.7,-3.8,-0.63
252,GR,Qarabağ FK 2017-2018,6.0,0.0,2.0,4.0,2.0,14.0,-12.0,2.0,60.7409999999999,2.4,14.8,-12.4,-2.06
253,GR,APOEL FC 2017-2018,6.0,0.0,2.0,4.0,2.0,17.0,-15.0,2.0,17.2109999999999,3.9,16.5,-12.7,-2.11
254,GR,Olympiacos 2017-2018,6.0,0.0,1.0,5.0,4.0,13.0,-9.0,1.0,30.445,3.4,13.8,-10.3,-1.72
255,GR,Benfica 2017-2018,6.0,0.0,0.0,6.0,1.0,14.0,-13.0,0.0,39.492,6.2,10.4,-4.2,-0.69
256,W,Liverpool 2018-2019,13.0,8.0,1.0,4.0,24.0,12.0,12.0,25.0,52.9069999999999,28.3,13.9,14.4,1.11
257,F,Tottenham 2018-2019,13.0,6.0,2.0,5.0,20.0,19.0,1.0,20.0,62.947,20.5,16.1,4.4,0.34
258,SF,Barcelona 2018-2019,12.0,8.0,3.0,1.0,26.0,10.0,16.0,27.0,86.1779999999999,23.1,14.4,8.6,0.72
259,SF,Ajax 2018-2019,12.0,6.0,4.0,2.0,22.0,13.0,9.0,22.0,52.056,22.3,17.8,4.5,0.38
260,QF,Manchester City 2018-2019,10.0,7.0,1.0,2.0,30.0,12.0,18.0,22.0,49.534999999999904,22.9,10.1,12.8,1.28
261,QF,Porto 2018-2019,10.0,6.0,1.0,3.0,20.0,15.0,5.0,19.0,43.415,16.9,19.4,-2.5,-0.25
262,QF,Juventus 2018-2019,10.0,5.0,1.0,4.0,14.0,9.0,5.0,16.0,40.766,18.9,10.1,8.8,0.88
263,QF,Manchester Utd 2018-2019,10.0,4.0,1.0,5.0,10.0,11.0,-1.0,13.0,73.708,10.4,13.7,-3.2,-0.32
264,R16,Atlético Madrid 2018-2019,8.0,5.0,1.0,2.0,11.0,9.0,2.0,16.0,60.06799999999991,8.1,9.1,-1.0,-0.12
265,R16,Bayern Munich 2018-2019,8.0,4.0,3.0,1.0,16.0,8.0,8.0,15.0,69.53600000000002,14.7,9.3,5.4,0.68
266,R16,Real Madrid 2018-2019,8.0,5.0,0.0,3.0,15.0,10.0,5.0,15.0,66.31400000000002,16.9,10.8,6.1,0.76
267,R16,Paris S-G 2018-2019,8.0,4.0,2.0,2.0,20.0,12.0,8.0,14.0,45.14399999999999,16.9,10.5,6.4,0.8
268,R16,Dortmund 2018-2019,8.0,4.0,1.0,3.0,10.0,6.0,4.0,13.0,66.099,12.2,6.8,5.5,0.68
